Category,Product,Min Price (INR/kg),Max Price (INR/kg),Average Price (INR/kg)
Vegetables,Bitter Gourd,46.0,90.0,68.0
Vegetables,Cauliflower,106.0,126.0,116.0
Vegetables,Cauliflower,112.0,151.0,131.5
Vegetables,Cauliflower,29.0,77.0,53.0
Vegetables,Cauliflower,84.0,102.0,93.0
Vegetables,Cauliflower,89.0,130.0,109.5
Vegetables,Kale,114.0,173.0,143.5
Vegetables,Kale,89.0,140.0,114.5
Vegetables,Kale,37.0,75.0,56.0
Vegetables,Kale,78.0,132.0,105.0
Vegetables,Kale,115.0,155.0,135.0
Vegetables,Cabbage,37.0,54.0,45.5
Vegetables,Cabbage,31.0,72.0,51.5
Vegetables,Cabbage,98.0,114.0,106.0
Vegetables,Cabbage,97.0,144.0,120.5
Vegetables,Cabbage,54.0,105.0,79.5
Vegetables,Beetroot,38.0,88.0,63.0
Vegetables,Beetroot,115.0,144.0,129.5
Vegetables,Beetroot,40.0,70.0,55.0
Vegetables,Beetroot,101.0,149.0,125.0
Vegetables,Beetroot,88.0,135.0,111.5
Vegetables,Okra,61.0,117.0,89.0
Vegetables,Okra,72.0,117.0,94.5
Vegetables,Okra,75.0,135.0,105.0
Vegetables,Okra,53.0,94.0,73.5
Vegetables,Okra,57.0,115.0,86.0
Vegetables,Drumsticks,51.0,63.0,57.0
Vegetables,Drumsticks,75.0,115.0,95.0
Vegetables,Drumsticks,91.0,113.0,102.0
Vegetables,Drumsticks,107.0,166.0,136.5
Vegetables,Drumsticks,26.0,83.0,54.5
Vegetables,Spinach,110.0,150.0,130.0
Vegetables,Spinach,98.0,119.0,108.5
Vegetables,Spinach,23.0,73.0,48.0
Vegetables,Spinach,96.0,125.0,110.5
Vegetables,Spinach,63.0,89.0,76.0
Vegetables,Cucumber,65.0,99.0,82.0
Vegetables,Cucumber,67.0,108.0,87.5
Vegetables,Cucumber,99.0,153.0,126.0
Vegetables,Cucumber,25.0,54.0,39.5
Vegetables,Cucumber,82.0,97.0,89.5
Vegetables,Asparagus,56.0,70.0,63.0
Vegetables,Asparagus,42.0,98.0,70.0
Vegetables,Asparagus,45.0,98.0,71.5
Vegetables,Asparagus,54.0,85.0,69.5
Vegetables,Asparagus,26.0,77.0,51.5
Vegetables,Broccoli,85.0,97.0,91.0
Vegetables,Broccoli,40.0,89.0,64.5
Vegetables,Broccoli,44.0,66.0,55.0
Vegetables,Broccoli,108.0,133.0,120.5
Vegetables,Broccoli,96.0,146.0,121.0
Vegetables,Tomatoes,26.0,65.0,45.5
Vegetables,Tomatoes,70.0,118.0,94.0
Vegetables,Tomatoes,57.0,72.0,64.5
Vegetables,Tomatoes,120.0,139.0,129.5
Vegetables,Tomatoes,43.0,90.0,66.5
Vegetables,Carrots,102.0,121.0,111.5
Vegetables,Carrots,91.0,127.0,109.0
Vegetables,Carrots,30.0,86.0,58.0
Vegetables,Carrots,98.0,141.0,119.5
Vegetables,Carrots,58.0,96.0,77.0
Grains,Quinoa,33.0,75.0,54.0
Grains,Quinoa,76.0,122.0,99.0
Grains,Quinoa,109.0,131.0,120.0
Grains,Quinoa,118.0,172.0,145.0
Grains,Quinoa,77.0,118.0,97.5
Grains,Oats,112.0,133.0,122.5
Grains,Oats,43.0,66.0,54.5
Grains,Oats,85.0,120.0,102.5
Grains,Oats,108.0,140.0,124.0
Grains,Oats,94.0,126.0,110.0
Grains,Rice,68.0,124.0,96.0
Grains,Rice,80.0,125.0,102.5
Grains,Rice,116.0,172.0,144.0
Grains,Rice,67.0,120.0,93.5
Grains,Rice,69.0,101.0,85.0
Grains,Whole Wheat,72.0,107.0,89.5
Grains,Whole Wheat,118.0,175.0,146.5
Grains,Whole Wheat,115.0,130.0,122.5
Grains,Whole Wheat,26.0,74.0,50.0
Grains,Whole Wheat,76.0,134.0,105.0
Grains,Brown Rice,44.0,58.0,51.0
Grains,Brown Rice,47.0,100.0,73.5
Grains,Brown Rice,116.0,162.0,139.0
Grains,Brown Rice,56.0,107.0,81.5
Grains,Brown Rice,66.0,96.0,81.0
Grains,Barley,52.0,107.0,79.5
Grains,Barley,24.0,66.0,45.0
Grains,Barley,84.0,101.0,92.5
Grains,Barley,113.0,128.0,120.5
Grains,Barley,39.0,98.0,68.5
Grains,Ragi,108.0,160.0,134.0
Grains,Ragi,82.0,121.0,101.5
Grains,Ragi,103.0,126.0,114.5
Grains,Ragi,98.0,155.0,126.5
Grains,Ragi,73.0,92.0,82.5
Pulses,Black Gram,118.0,156.0,137.0
Pulses,Black Gram,110.0,134.0,122.0
Pulses,Black Gram,76.0,117.0,96.5
Pulses,Black Gram,45.0,62.0,53.5
Pulses,Black Gram,39.0,85.0,62.0
Pulses,Chickpeas,118.0,151.0,134.5
Pulses,Chickpeas,96.0,118.0,107.0
Pulses,Chickpeas,99.0,136.0,117.5
Pulses,Chickpeas,83.0,106.0,94.5
Pulses,Chickpeas,65.0,97.0,81.0
Pulses,Lentils,40.0,67.0,53.5
Pulses,Lentils,89.0,121.0,105.0
Pulses,Lentils,30.0,80.0,55.0
Pulses,Lentils,101.0,139.0,120.0
Pulses,Lentils,63.0,105.0,84.0
Pulses,Soybeans,45.0,102.0,73.5
Pulses,Soybeans,87.0,143.0,115.0
Pulses,Soybeans,120.0,178.0,149.0
Pulses,Soybeans,98.0,129.0,113.5
Pulses,Soybeans,55.0,112.0,83.5
Pulses,Green Gram,73.0,119.0,96.0
Pulses,Green Gram,62.0,102.0,82.0
Pulses,Green Gram,62.0,81.0,71.5
Pulses,Green Gram,83.0,134.0,108.5
Pulses,Green Gram,92.0,147.0,119.5
Pulses,Black-eyed Peas,91.0,109.0,100.0
Pulses,Black-eyed Peas,27.0,73.0,50.0
Pulses,Black-eyed Peas,105.0,159.0,132.0
Pulses,Black-eyed Peas,50.0,93.0,71.5
Pulses,Black-eyed Peas,43.0,84.0,63.5
Vegetables,Drumsticks,76.3678004301997,112.9892870629273,94.67854374656349
Vegetables,Zucchini,37.623141788539094,81.95108682822921,59.78711430838415
Fruits,Avocado,82.24423652432587,120.16495983320978,101.20459817876782
Vegetables,Kale,76.46602584284668,135.63248280925524,106.04925432605096
Vegetables,Bitter Gourd,43.74255596470525,58.26995268840801,51.00625432655663
Vegetables,Bitter Gourd,41.86755073402425,56.450145236905,49.158847985464625
Fruits,Grapefruit,66.62123722633139,112.26583152628585,89.44353437630862
Vegetables,Tomatoes,26.367404941370282,64.45436913642983,45.41088703890006
Vegetables,Beetroot,38.55796738919649,72.02049296375169,55.28923017647409
Vegetables,Spinach,24.0320906502753,70.39159423617004,47.211842443222665
Vegetables,Kale,35.7491467646379,78.12263407912616,56.93589042188203
Fruits,Figs,97.36995578358535,120.07152949927871,108.72074264143203
Fruits,Figs,67.00402393501157,109.38008295929241,88.19205344715199
Grains,Brown Rice,46.18594903398651,96.28899045636082,71.23746974517367
Vegetables,Beetroot,38.52987247391806,91.53731625820615,65.0335943660621
Vegetables,Zucchini,84.13529297815353,124.77991272716741,104.45760285266047
Vegetables,Okra,50.75118894933056,91.18513894577924,70.9681639475549
Fruits,Grapefruit,94.19349995448621,142.21551520878745,118.20450758163683
Vegetables,Spinach,97.68414101375505,130.35233022628728,114.01823562002116
Fruits,Dates,86.66427536851212,99.31399220076588,92.989133784639
Vegetables,Okra,62.61056583221252,120.57391356184013,91.59223969702633
Pulses,Lentils,30.585635230107684,76.12214640398355,53.35389081704562
Grains,Brown Rice,68.47978893874652,95.38808788348149,81.93393841111401
Vegetables,Beetroot,40.571615933982244,69.98198876892486,55.276802351453554
Vegetables,Broccoli,42.58719214100977,68.8246932534591,55.705942697234434
Fruits,Papaya,91.23861422405606,134.78106024067887,113.00983723236746
Vegetables,Carrots,90.66346588781327,127.25335207655156,108.95840898218242
Fruits,Pomegranate,80.23611833139421,93.84229392479199,87.0392061280931
Vegetables,Beetroot,117.45774063267643,150.47440636125123,133.96607349696382
Pulses,Soybeans,54.74487894735424,111.6476931765114,83.19628606193282
Vegetables,Broccoli,110.74748227724653,130.76991540294895,120.75869884009774
Fruits,Figs,65.64936222325689,105.7662217132062,85.70779196823155
Vegetables,Okra,58.41036901601423,111.351230724244,84.88079987012912
Fruits,Apples,55.8337486763013,78.28481357964723,67.05928112797426
Vegetables,Kale,37.85905664781472,78.1979448257774,58.02850073679606
Vegetables,Tomatoes,26.343209966689287,67.12674370539679,46.73497683604304
Grains,Brown Rice,43.03522879957454,60.23751080856612,51.63636980407033
Vegetables,Cucumber,97.13212341053868,160.53616683132162,128.83414512093015
Fruits,Oranges,123.8062361050367,156.3228477769455,140.0645419409911
Fruits,Grapefruit,53.813977958021496,64.90134119226472,59.35765957514311
Pulses,Black-eyed Peas,41.451306628855896,81.61093866865369,61.53112264875479
Fruits,Dates,93.78148911246953,127.6359877990833,110.70873845577641
Vegetables,Kale,79.44955130413304,129.27013704979197,104.3598441769625
Fruits,Papaya,31.27403404483866,49.03313332431842,40.15358368457854
Grains,Ragi,85.95265457914398,116.30981140181515,101.13123299047956
Pulses,Lentils,89.29439657144047,126.99557102078859,108.14498379611453
Grains,Quinoa,74.20487085482854,118.4779637435082,96.34141729916837
Fruits,Dates,91.61087904247802,131.04245977256977,111.3266694075239
Pulses,Soybeans,114.7010939248034,176.26453873277245,145.48281632878792
Fruits,Watermelon,22.546238159703282,47.72492988256917,35.135584021136225
Fruits,Watermelon,68.5825466494558,117.69870918487265,93.14062791716422
Vegetables,Asparagus,42.73090494096951,100.43295829159993,71.58193161628472
Grains,Barley,82.67002293246648,105.0883066854789,93.87916480897269
Pulses,Black Gram,122.8109823912188,156.3748285324755,139.59290546184715
Vegetables,Okra,71.46123856788077,131.54827605379808,101.50475731083942
Fruits,Lemon,74.04418750782013,91.02405261201537,82.53412005991774
Grains,Rice,80.9122895362606,126.70848029890155,103.81038491758108
Pulses,Green Gram,62.40307074382677,98.99547396466801,80.69927235424738
Fruits,Blueberries,28.145299420281567,71.02765199742583,49.5864757088537
Fruits,Pomegranate,44.2950079911655,90.28670363013113,67.29085581064831
Fruits,Lemon,36.733470865373604,89.46691276027339,63.100191812823496
Fruits,Oranges,24.971658920744883,48.259532198929335,36.61559555983711
Vegetables,Bell Peppers,73.03225030008741,125.99000067534256,99.51112548771499
Vegetables,Bitter Gourd,48.083384526598415,94.15323709490966,71.11831081075404
Grains,Ragi,83.03845021484229,119.57996435999951,101.30920728742089
Vegetables,Drumsticks,50.348461303329465,60.2518615706994,55.30016143701443
Pulses,Lentils,103.23219508067335,138.55198108088646,120.8920880807799
Grains,Quinoa,106.21742809137903,130.5514172469617,118.38442266917036
Grains,Brown Rice,42.21880461352732,60.63747941972284,51.428142016625074
Fruits,Dates,110.01229574023532,147.69941050977974,128.8558531250075
Grains,Rice,69.29963316723274,119.60971804356416,94.45467560539845
Pulses,Lentils,93.33882760859068,125.6362102879114,109.48751894825104
Vegetables,Cauliflower,80.49295798692584,106.01129540412863,93.25212669552724
Grains,Whole Wheat,73.86477637260745,109.59237029656792,91.72857333458768
Vegetables,Drumsticks,112.04244771817795,169.91008392358847,140.9762658208832
Fruits,Papaya,114.24263464967981,157.54102926189356,135.8918319557867
Fruits,Pineapple,97.93855140411539,113.02235184342166,105.48045162376852
Fruits,Pomegranate,101.96593626240356,158.7798821800146,130.37290922120908
Vegetables,Carrots,102.56024557507497,122.27367402066024,112.4169597978676
Vegetables,Cabbage,101.5681063723547,117.9509800623639,109.7595432173593
Fruits,Grapefruit,52.921628633431595,69.09517055749542,61.00839959546351
Grains,Barley,23.05402791817402,65.18497362135653,44.11950076976528
Vegetables,Kale,87.79706700440597,139.11111883063217,113.45409291751906
Grains,Barley,50.211054522650855,111.73769662905835,80.9743755758546
Pulses,Black Gram,76.24943534967007,111.21088850336056,93.73016192651531
Vegetables,Cabbage,36.49400570350655,52.6084640803663,44.55123489193643
Fruits,Avocado,46.87957475063447,60.985140511338464,53.932357630986466
Pulses,Lentils,86.2299789418048,122.45926302435862,104.34462098308171
Vegetables,Bitter Gourd,44.81933356696674,93.58339762944654,69.20136559820664
Fruits,Avocado,28.824622344418977,53.9708677516133,41.397745048016134
Vegetables,Cauliflower,86.12043703219132,106.48770383956933,96.30407043588033
Vegetables,Asparagus,57.90222736833714,72.52174458030996,65.21198597432354
Vegetables,Carrots,30.506527703324483,85.52180402514196,58.01416586423322
Vegetables,Tomatoes,58.29635413477549,72.51591327357521,65.40613370417535
Fruits,Figs,64.80032542937757,109.66287698310043,87.23160120623899
Pulses,Black Gram,37.607770173759846,81.2166504055147,59.41221028963727
Vegetables,Beetroot,39.850237815606334,88.1608043949906,64.00552110529847
Fruits,Dates,100.93064498933401,125.13002050974687,113.03033274954043
Fruits,Grapefruit,61.48397181128926,78.15526812702268,69.81961996915597
Vegetables,Bell Peppers,36.25341215354281,59.991341276388745,48.12237671496578
Vegetables,Tomatoes,41.17910391615735,93.58663455034326,67.3828692332503
Vegetables,Spinach,97.14302602006295,119.79610392980345,108.4695649749332
Pulses,Green Gram,89.29108356140694,152.06146386616146,120.6762737137842
Vegetables,Okra,74.35873172843621,120.51006729955876,97.43439951399748
Fruits,Melons,67.28497492936609,120.8416641251075,94.06331952723679
Pulses,Chickpeas,114.64173793190577,145.34452744277138,129.99313268733857
Fruits,Figs,96.74026715251316,116.68409954759399,106.71218335005358
Grains,Brown Rice,119.38878999866941,153.9698674430245,136.67932872084697
Grains,Barley,39.351464938958394,102.3050499686121,70.82825745378524
Pulses,Lentils,93.07126048393671,118.43963978248614,105.75545013321143
Vegetables,Drumsticks,26.926043465994326,84.23582306944839,55.580933267721356
Fruits,Pomegranate,47.734815395877234,85.31649371437597,66.52565455512661
Fruits,Pineapple,30.106252857867766,78.2764302646762,54.19134156127198
Fruits,Watermelon,38.06972310401626,55.482581193299104,46.77615214865769
Fruits,Melons,27.530771346908704,51.3949515012961,39.4628614241024
Pulses,Soybeans,52.315646766355336,115.84827854054647,84.0819626534509
Vegetables,Zucchini,84.52340984368118,115.02146044845169,99.77243514606644
Fruits,Pomegranate,78.04568154688883,93.47555158675472,85.76061656682177
Vegetables,Cauliflower,112.21472454937017,151.48358215983555,131.84915335460286
Fruits,Pomegranate,101.36172496308511,153.50656533453954,127.43414514881232
Fruits,Watermelon,67.39522517855148,111.03377986753992,89.2145025230457
Fruits,Melons,117.51387315758865,149.37282996696862,133.44335156227862
Vegetables,Carrots,58.23753791253976,99.12098516257137,78.67926153755556
Fruits,Guava,92.0481176598429,131.83348275534829,111.9408002075956
Fruits,Apples,55.30778179467702,75.77776596240204,65.54277387853953
Fruits,Pomegranate,45.1728109145543,89.47879652489827,67.32580371972628
Pulses,Green Gram,60.4245790783741,82.88961067182035,71.65709487509723
Fruits,Grapefruit,88.71409932322427,143.70273893797662,116.20841913060045
Pulses,Lentils,28.688689511556564,82.42247782807439,55.555583669815476
Fruits,Watermelon,75.96915018588899,101.9684880758852,88.9688191308871
Fruits,Figs,69.35786374389431,117.12064444447353,93.23925409418392
Vegetables,Spinach,99.80230365892419,113.5541202582435,106.67821195858384
Grains,Barley,84.18337891862369,99.72050351414741,91.95194121638555
Fruits,Berries,63.29985539308477,99.29932970164421,81.29959254736448
Vegetables,Tomatoes,25.049805349827995,67.84951791606179,46.44966163294489
Vegetables,Tomatoes,26.511343704054276,65.24377391317257,45.87755880861343
Vegetables,Cauliflower,81.23733074529332,102.01569758536483,91.62651416532907
Grains,Ragi,103.30040505849259,129.00061394717216,116.15050950283236
Pulses,Green Gram,95.65207273470787,146.12703427074408,120.88955350272597
Grains,Brown Rice,112.13565251250468,169.8809735745557,141.0083130435302
Fruits,Figs,69.89676440836402,114.3870519379014,92.14190817313272
Fruits,Pineapple,103.43459744189495,164.93519493685247,134.18489618937372
Vegetables,Spinach,106.87446631528857,154.47899953522298,130.67673292525578
Vegetables,Okra,50.57814692126043,96.25227397474251,73.41521044800147
Grains,Oats,98.1702572724753,129.07425194936383,113.62225461091955
Vegetables,Cauliflower,91.86381645680223,135.47933735322286,113.67157690501254
Grains,Whole Wheat,26.431650215636438,76.86936019561315,51.650505205624796
Vegetables,Beetroot,39.2118981074814,72.73661620488349,55.974257156182446
Vegetables,Broccoli,102.64180431666736,133.89104699896143,118.2664256578144
Pulses,Black Gram,77.45343582745119,115.0176504024035,96.23554311492734
Pulses,Black Gram,72.99419933895096,117.14274260277779,95.06847097086438
Fruits,Pineapple,53.228062395497915,82.88426904068453,68.05616571809122
Vegetables,Broccoli,44.75059761701799,63.95861072076087,54.35460416888943
Vegetables,Drumsticks,105.6886677110826,171.25841007393572,138.47353889250917
Fruits,Blueberries,27.18182438260761,72.23188376678857,49.706854074698086
Vegetables,Beetroot,38.555180943379185,70.49505460684976,54.525117775114474
Vegetables,Bell Peppers,70.52573957428855,124.09871407594946,97.31222682511901
Vegetables,Cauliflower,86.04566375902134,104.79054855927613,95.41810615914873
Vegetables,Drumsticks,91.39261684140979,117.90331052171894,104.64796368156436
Grains,Oats,112.86225327565793,139.60787416105612,126.23506371835703
Fruits,Lemon,34.512441487483244,89.47234561906238,61.99239355327281
Fruits,Lemon,74.10259528278763,94.32596511940437,84.214280201096
Grains,Ragi,100.40220706062671,155.90436467010713,128.1532858653669
Grains,Quinoa,73.18520349210858,118.86167024875257,96.02343687043057
Vegetables,Tomatoes,55.23325858629998,71.98630222127737,63.609780403788676
Pulses,Green Gram,61.58880004542045,97.48012086336564,79.53446045439304
Fruits,Apples,108.32325449944864,167.7879161143716,138.05558530691013
Vegetables,Bitter Gourd,44.037245618822226,92.55457336018112,68.29590948950167
Fruits,Blueberries,92.9134596047588,151.57692060773542,122.24519010624711
Vegetables,Cucumber,25.520009264283765,54.584566169027305,40.052287716655535
Fruits,Melons,92.27786822622335,145.98921408856512,119.13354115739423
Fruits,Blueberries,70.00942076851759,90.8682816033788,80.4388511859482
Pulses,Green Gram,80.96945142633761,134.2744912094734,107.62197131790552
Vegetables,Asparagus,46.88279018196777,95.30119432236673,71.09199225216724
Grains,Brown Rice,110.80356034508516,157.44569376593307,134.1246270555091
Fruits,Berries,23.886299867250415,52.17301749640935,38.029658681829886
Grains,Ragi,113.06393979585997,155.91250032564832,134.48822006075414
Fruits,Pomegranate,81.79486677962544,104.96993509720845,93.38240093841694
Vegetables,Carrots,97.56566399023514,119.03319393992115,108.29942896507814
Vegetables,Spinach,22.61431488325423,71.61380605747979,47.11406047036701
Fruits,Blueberries,85.18873479005772,137.82542825488397,111.50708152247086
Fruits,Lemon,84.57917849475135,139.35098762403499,111.96508305939317
Vegetables,Beetroot,39.79066868370779,90.61065281979415,65.20066075175097
Fruits,Oranges,19.22099247718281,53.99369440171118,36.60734343944699
Vegetables,Okra,57.1768280935271,110.27653266379501,83.72668037866106
Fruits,Blueberries,86.09808764880066,142.83819888571094,114.4681432672558
Fruits,Oranges,123.56228007401384,156.25583429881232,139.90905718641307
Vegetables,Tomatoes,41.47000404721073,86.10328471148202,63.78664437934637
Grains,Barley,79.98428379296233,95.95328636887693,87.96878508091963
Fruits,Grapefruit,51.13872827382312,68.85732874154024,59.99802850768168
Vegetables,Bell Peppers,106.27460396169177,148.41763302031123,127.3461184910015
Vegetables,Cauliflower,86.0470184707327,102.98325587657862,94.51513717365566
Grains,Barley,23.160327780631647,65.86187637265886,44.51110207664525
Fruits,Berries,24.94712070653352,52.10020667064003,38.52366368858677
Fruits,Blueberries,89.0445373189734,137.12508242230808,113.08480987064074
Vegetables,Tomatoes,43.78557993763378,90.28851928750039,67.03704961256709
Vegetables,Zucchini,64.24797620747707,88.81199538989294,76.529985798685
Fruits,Avocado,49.675756634488295,92.98021638736685,71.32798651092757
Fruits,Papaya,37.41535150272585,53.26201626244377,45.33868388258481
Vegetables,Beetroot,39.28555079146539,70.77129788169498,55.02842433658019
Fruits,Dates,85.76954299937809,98.57772792458296,92.17363546198052
Fruits,Oranges,20.66252515220191,53.79614916816444,37.22933716018318
Fruits,Apples,55.641988034910845,74.03337583660412,64.83768193575749
Fruits,Grapefruit,88.86767629870258,142.9499461774075,115.90881123805504
Vegetables,Tomatoes,67.42055115145963,122.37319069163497,94.8968709215473
Pulses,Soybeans,56.08331507320082,106.73643306706465,81.40987407013273
Vegetables,Beetroot,97.90846309733928,152.76595343768548,125.33720826751238
Grains,Oats,114.17643570542677,127.29352395911532,120.73497983227105
Grains,Whole Wheat,113.30363443809836,171.37021933154963,142.33692688482398
Fruits,Avocado,43.74886645334632,59.32889531679763,51.538880885071976
Grains,Ragi,79.76172649480365,119.61319508188055,99.6874607883421
Vegetables,Bell Peppers,117.87459452476999,154.94679380763992,136.41069416620496
Vegetables,Tomatoes,59.466137737784166,72.09633281056168,65.78123527417293
Fruits,Watermelon,77.86453549404277,98.97091573189078,88.41772561296678
Vegetables,Bitter Gourd,42.55068915861226,56.639976384379594,49.595332771495926
Pulses,Green Gram,64.0427923400932,98.28253461381681,81.162663476955
Grains,Brown Rice,110.44098680880145,156.66321732830878,133.55210206855512
Grains,Ragi,105.203176765107,166.74180404811904,135.97249040661302
Fruits,Pineapple,20.807571102856908,41.9169048160596,31.362237959458255
Grains,Whole Wheat,74.65817816500373,106.23909003393038,90.44863409946706
Fruits,Lemon,24.05877436316124,57.462240159371795,40.76050726126652
Grains,Whole Wheat,120.41245898366498,132.81683770759855,126.61464834563176
Vegetables,Asparagus,44.44945717943693,95.28980663289316,69.86963190616504
Fruits,Papaya,30.162356116447132,44.888250181204164,37.52530314882565
Fruits,Lemon,36.092872164548716,84.4288756055609,60.26087388505481
Vegetables,Cabbage,96.81837091241104,148.93973339956926,122.87905215599015
Pulses,Black Gram,115.05924860076944,157.70708125333786,136.38316492705366
Pulses,Black-eyed Peas,87.16156799622628,106.8290844053379,96.99532620078209
Fruits,Blueberries,90.40454294239565,132.64098669209764,111.52276481724664
Fruits,Pineapple,91.22784004573512,113.99233269208108,102.6100863689081
Fruits,Papaya,95.6798251901402,134.39821265115674,115.03901892064847
Vegetables,Tomatoes,41.81263714496603,89.72031198744256,65.7664745662043
Vegetables,Broccoli,42.97990079168683,63.56374540001329,53.27182309585006
Pulses,Chickpeas,63.5748470066156,97.70422294122936,80.63953497392248
Vegetables,Tomatoes,41.735741578115814,91.07296950961981,66.40435554386781
Fruits,Berries,25.14112143903425,53.932119486963124,39.536620462998684
Pulses,Black Gram,109.62931452178532,134.43990143006695,122.03460797592614
Vegetables,Cabbage,94.72967549940697,149.2850241085223,122.00734980396463
Fruits,Blueberries,85.26430324217469,141.57823693435626,113.42127008826547
Fruits,Avocado,28.512264806871062,52.305635931102096,40.40895036898658
Grains,Oats,43.139925322725176,64.76657994754922,53.9532526351372
Fruits,Figs,69.02453971880733,109.71051434913885,89.36752703397309
Vegetables,Beetroot,41.4760927978288,70.86809711567642,56.17209495675261
Fruits,Guava,92.68093128401614,127.46879000244256,110.07486064322936
Vegetables,Broccoli,40.69778662719723,91.60920573173128,66.15349617946426
Fruits,Guava,46.57086616582072,69.66722290946774,58.11904453764423
Grains,Ragi,80.93576208078505,124.46858052005103,102.70217130041804
Grains,Barley,86.49729366629823,99.9066073300738,93.20195049818602
Grains,Whole Wheat,72.57007346118553,127.78707379271403,100.17857362694977
Vegetables,Tomatoes,122.94810741128994,140.437572150046,131.69283978066798
Vegetables,Beetroot,89.30563481292693,132.38814360889205,110.8468892109095
Vegetables,Cabbage,54.80615883629703,105.73572587093904,80.27094235361804
Vegetables,Cabbage,36.9331820615452,55.393948327912604,46.1635651947289
Grains,Quinoa,34.219760943009355,75.27100661674653,54.74538377987794
Pulses,Lentils,87.66708827932678,120.16737027277988,103.91722927605332
Vegetables,Cucumber,67.04160028188106,96.4368440290836,81.73922215548234
Vegetables,Spinach,114.46025764198501,153.003256320345,133.731756981165
